2023-04-11 22:51:47 - r - INFO: - Hyperparameters:
2023-04-11 22:51:47 - r - INFO: - ================================================================================
2023-04-11 22:51:47 - r - INFO: -         Name        	       Value        	        Type        
2023-04-11 22:51:47 - r - INFO: -       env_name      	   HalfCheetah-v3   	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -     new_step_api    	         1          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -       wrapper       	        None        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -        render       	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -     render_mode     	     rgb_array      	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      algo_name      	        DDPG        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -         mode        	       train        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      mp_backend     	         mp         	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -         seed        	         0          	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -        device       	        cpu         	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      train_eps      	        5000        	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       test_eps      	         20         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       eval_eps      	         10         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   eval_per_episode  	        100         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -      max_steps      	        200         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   load_checkpoint   	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -      load_path      	       tasks        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       show_fig      	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -       save_fig      	         1          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -        gamma        	        0.99        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -      critic_lr      	       0.001        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -       actor_lr      	       0.0001       	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -     buffer_size     	      1000000       	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -      batch_size     	        128         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -         tau         	       0.005        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -  critic_hidden_dim  	        300         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   actor_hidden_dim  	        300         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       task_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       res_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/results	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       log_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/logs	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       traj_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/traj	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      video_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/videos	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: - ================================================================================
2023-04-11 22:51:48 - r - INFO: - action_bound: 1.0
2023-04-11 22:51:48 - r - INFO: - n_states: 17, n_actions: 6
2023-04-11 22:51:48 - r - INFO: - Start training!
2023-04-11 22:51:48 - r - INFO: - Env: HalfCheetah-v3, Algorithm: DDPG, Device: cpu
2023-04-11 22:53:01 - r - INFO: - Episode: 81/5000, Reward: 61.888, Step: 200
2023-04-11 22:53:02 - r - INFO: - Episode: 82/5000, Reward: 14.979, Step: 200
2023-04-11 22:53:03 - r - INFO: - Episode: 83/5000, Reward: -71.535, Step: 200
2023-04-11 22:53:04 - r - INFO: - Episode: 84/5000, Reward: 70.982, Step: 200
2023-04-11 22:53:05 - r - INFO: - Episode: 85/5000, Reward: -35.957, Step: 200
2023-04-11 22:53:06 - r - INFO: - Episode: 86/5000, Reward: 17.881, Step: 200
2023-04-11 22:53:07 - r - INFO: - Episode: 87/5000, Reward: -41.324, Step: 200
2023-04-11 22:53:07 - r - INFO: - Episode: 88/5000, Reward: 4.616, Step: 200
2023-04-11 22:53:08 - r - INFO: - Episode: 89/5000, Reward: 18.322, Step: 200
2023-04-11 22:53:09 - r - INFO: - Episode: 90/5000, Reward: 19.317, Step: 200
2023-04-11 22:53:10 - r - INFO: - Episode: 91/5000, Reward: 23.029, Step: 200
2023-04-11 22:53:11 - r - INFO: - Episode: 92/5000, Reward: 78.093, Step: 200
2023-04-11 22:53:12 - r - INFO: - Episode: 93/5000, Reward: 22.764, Step: 200
2023-04-11 22:53:13 - r - INFO: - Episode: 94/5000, Reward: 94.409, Step: 200
2023-04-11 22:53:14 - r - INFO: - Episode: 95/5000, Reward: 106.209, Step: 200
2023-04-11 22:53:15 - r - INFO: - Episode: 96/5000, Reward: 12.083, Step: 200
2023-04-11 22:53:16 - r - INFO: - Episode: 97/5000, Reward: 6.142, Step: 200
2023-04-11 22:53:17 - r - INFO: - Episode: 98/5000, Reward: 2.510, Step: 200
2023-04-11 22:53:18 - r - INFO: - Episode: 99/5000, Reward: 113.546, Step: 200
2023-04-11 22:53:19 - r - INFO: - Episode: 100/5000, Reward: 44.269, Step: 200
2023-04-11 22:53:19 - r - INFO: - Current episode 100 has the best eval reward: 86.032
2023-04-11 22:53:20 - r - INFO: - Episode: 101/5000, Reward: -73.357, Step: 200
2023-04-11 22:53:21 - r - INFO: - Episode: 102/5000, Reward: 69.585, Step: 200
2023-04-11 22:53:22 - r - INFO: - Episode: 103/5000, Reward: -38.164, Step: 200
2023-04-11 22:53:23 - r - INFO: - Episode: 104/5000, Reward: 32.460, Step: 200
2023-04-11 22:53:24 - r - INFO: - Episode: 105/5000, Reward: 103.026, Step: 200
2023-04-11 22:53:25 - r - INFO: - Episode: 106/5000, Reward: 118.419, Step: 200
2023-04-11 22:53:25 - r - INFO: - Episode: 107/5000, Reward: 6.946, Step: 200
2023-04-11 22:53:26 - r - INFO: - Episode: 108/5000, Reward: -14.153, Step: 200
2023-04-11 22:53:27 - r - INFO: - Episode: 109/5000, Reward: 85.712, Step: 200
2023-04-11 22:53:28 - r - INFO: - Episode: 110/5000, Reward: 66.215, Step: 200
2023-04-11 22:53:29 - r - INFO: - Episode: 111/5000, Reward: 124.996, Step: 200
2023-04-11 22:53:30 - r - INFO: - Episode: 112/5000, Reward: 71.516, Step: 200
2023-04-11 22:53:31 - r - INFO: - Episode: 113/5000, Reward: 35.267, Step: 200
2023-04-11 22:53:32 - r - INFO: - Episode: 114/5000, Reward: 54.755, Step: 200
2023-04-11 22:53:32 - r - INFO: - Episode: 115/5000, Reward: 134.267, Step: 200
2023-04-11 22:53:33 - r - INFO: - Episode: 116/5000, Reward: 106.444, Step: 200
2023-04-11 22:53:34 - r - INFO: - Episode: 117/5000, Reward: 31.120, Step: 200
2023-04-11 22:53:35 - r - INFO: - Episode: 118/5000, Reward: 85.759, Step: 200
2023-04-11 22:53:36 - r - INFO: - Episode: 119/5000, Reward: 66.590, Step: 200
2023-04-11 22:53:37 - r - INFO: - Episode: 120/5000, Reward: 100.842, Step: 200
